fips,state,state_exp,var,domain, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin, fpl099_rate , fpl100_rate , fpl200_rate , fpl300_rate , fpl400_rate ,fpl099_dtgnum,fpl100_dtgnum,fpl200_dtgnum,fpl300_dtgnum,fpl400_dtgnum, nohsg_rate , hsgrad_rate , somecoll_rate , collgrad_rate ,nohsg_dtgnum,hsgrad_dtgnum,somecoll_dtgnum,collgrad_dtgnum,dtgnum_ses, dtgperc_ses ,rankdtg_ses
39,OH,Ohio,hown,Physical Environment,0.736,0.377,0.5,0.54,0.496,0.459,0.679,0.81,257093,228923,2282,19627,17777,38846,564549,0.127,26,63,4,3,,,,,,,,,,,0.51,0.665,0.653,0.778,123099,197962,207813,36883,565757,0.128,29
40,OK,Oklahoma,hown,Physical Environment,0.728,0.413,0.659,0.6,0.602,0.536,0.681,0.81,79943,38758,12591,4713,13933,24354,174292,0.126,24,84,2,3,,,,,,,,,,,0.564,0.653,0.662,0.78,37206,61220,65961,10309,174696,0.126,27
41,OR,Oregon,hown,Physical Environment,0.668,0.348,0.481,0.612,0.513,0.428,0.636,0.81,174425,10911,4059,10702,10954,45336,256387,0.17,41,53,3,4,,,,,,,,,,,0.455,0.59,0.624,0.718,43492,66945,99605,46835,256877,0.171,44
42,PA,Pennsylvania,hown,Physical Environment,0.755,0.453,0.554,0.606,0.527,0.424,0.704,0.81,206962,164641,1603,24997,12669,86826,497700,0.103,13,78,4,2,,,,,,,,,,,0.55,0.685,0.696,0.774,113720,197219,136364,51741,499044,0.103,16
44,RI,Rhode Island,hown,Physical Environment,0.68,0.335,0.268,0.501,0.397,0.294,0.612,0.81,40436,9101,809,3081,2127,21583,77137,0.194,43,10,5,5,,,,,,,,,,,0.401,0.553,0.586,0.745,19058,25676,24463,8698,77895,0.195,46
45,SC,South Carolina,hown,Physical Environment,0.779,0.547,0.679,0.678,0.566,0.485,0.705,0.81,33522,120498,708,2785,4088,20828,182430,0.102,12,97,2,2,,,,,,,,,,,0.578,0.678,0.692,0.796,50268,62248,64797,5605,182917,0.102,14
46,SD,South Dakota,hown,Physical Environment,0.747,0.206,0.389,0.377,0.464,0.488,0.709,0.81,16853,2550,6840,1288,1586,2015,31132,0.098,11,20,5,2,,,,,,,,,,,0.493,0.688,0.715,0.774,7366,10810,10014,3095,31285,0.098,13
47,TN,Tennessee,hown,Physical Environment,0.741,0.459,0.618,0.593,0.558,0.418,0.681,0.81,124941,134026,1176,6739,7371,31230,305483,0.125,23,77,3,3,,,,,,,,,,,0.554,0.66,0.673,0.768,76656,107853,95214,26672,306395,0.126,26
48,TX,Texas,hown,Physical Environment,0.724,0.431,0.646,0.64,0.543,0.586,0.64,0.81,380285,415448,3852,63175,29097,608218,1500076,0.167,40,72,2,4,,,,,,,,,,,0.562,0.599,0.623,0.72,337849,411073,502561,251717,1503200,0.167,43
49,UT,Utah,hown,Physical Environment,0.764,0.345,0.593,0.612,0.629,0.532,0.729,0.81,31873,3699,1615,4602,1666,25184,68639,0.078,6,87,4,1,,,,,,,,,,,0.528,0.68,0.727,0.795,17323,21942,26075,3717,69057,0.078,6
50,VT,Vermont,hown,Physical Environment,0.736,,,0.536,0.611,0.524,0.725,0.81,16519,,,682,678,947,,,,,,,,,,,,,,,,,0.519,0.709,0.7,0.789,4655,6490,7412,1659,20216,0.082,7
51,VA,Virginia,hown,Physical Environment,0.747,0.491,0.653,0.678,0.567,0.479,0.677,0.81,122568,172993,1026,19857,12333,59300,388077,0.13,28,85,2,3,,,,,,,,,,,0.551,0.645,0.65,0.741,74515,103533,130703,80787,389538,0.13,31
53,WA,Washington,hown,Physical Environment,0.689,0.331,0.555,0.614,0.494,0.456,0.646,0.81,240240,42358,6569,37737,23190,73111,423204,0.161,37,57,3,4,,,,,,,,,,,0.464,0.597,0.634,0.719,68749,109039,160407,86121,424316,0.161,40
54,WV,West Virginia,hown,Physical Environment,0.76,0.419,0.738,0.533,0.607,0.55,0.744,0.81,31083,9024,103,1254,1241,1813,44518,0.063,1,97,4,1,,,,,,,,,,,0.662,0.752,0.723,0.805,13995,14825,15771,281,44872,0.063,2
55,WI,Wisconsin,hown,Physical Environment,0.743,0.284,0.49,0.513,0.466,0.415,0.697,0.81,122333,60994,5191,11418,7190,36377,243503,0.11,16,46,5,2,,,,,,,,,,,0.506,0.671,0.682,0.782,49925,88088,89216,16905,244134,0.11,19
56,WY,Wyoming,hown,Physical Environment,0.739,0.432,0.556,0.558,0.597,0.594,0.721,0.81,12865,639,708,340,671,3254,18477,0.086,8,93,3,2,,,,,,,,,,,0.58,0.699,0.712,0.784,3065,6161,7853,1415,18494,0.086,9
