fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
26,MI,Michigan,Physical Environment,2021,26.6,28.1,0.79,0.434,0.623,0.6,0.592,0.6,0.73,0.81,48794,181352.0,3030.0,17739,11212,24953,287080.0,0.077,5.0,99.0,3.0,1.0
27,MN,Minnesota,Physical Environment,2021,25.0,25.0,0.785,0.256,0.494,0.601,0.543,0.466,0.738,0.81,39382,54057.0,5263.0,13936,6748,22285,141672.0,0.069,3.0,59.0,5.0,1.0
28,MS,Mississippi,Physical Environment,2021,36.8,33.4,0.786,0.55,0.652,0.563,0.607,0.488,0.692,0.81,13056,97597.0,660.0,2264,1426,6428,121431.0,0.114,20.0,91.0,2.0,2.0
29,MO,Missouri,Physical Environment,2021,37.2,42.7,0.741,0.403,0.585,0.566,0.54,0.531,0.692,0.81,124049,100092.0,2210.0,8306,8027,16923,259607.0,0.114,19.0,80.0,3.0,2.0
31,NE,Nebraska,Physical Environment,2021,30.2,25.5,0.732,0.332,0.383,0.507,0.531,0.516,0.693,0.81,44728,14254.0,1568.0,3357,2208,13827,79942.0,0.114,18.0,54.0,5.0,2.0
32,NV,Nevada,Physical Environment,2021,24.6,28.6,0.635,0.303,0.56,0.609,0.468,0.443,0.563,0.81,105581,42328.0,2183.0,15092,7442,74422,247050.0,0.244,44.0,29.0,2.0,5.0
34,NJ,New Jersey,Physical Environment,2021,30.4,29.8,0.771,0.394,0.501,0.63,0.543,0.363,0.646,0.81,70862,162324.0,1206.0,44807,8800,216929,504928.0,0.161,38.0,54.0,3.0,4.0
35,NM,New Mexico,Physical Environment,2021,49.1,49.1,0.736,0.478,0.638,0.58,0.565,0.679,0.697,0.81,24820,4529.0,8312.0,2125,2020,38485,80291.0,0.109,15.0,96.0,2.0,2.0
36,NY,New York,Physical Environment,2021,43.0,43.0,0.678,0.322,0.556,0.479,0.407,0.25,0.547,0.81,573271,468147.0,4035.0,161739,35018,595236,1837446.0,0.26,46.0,8.0,3.0,5.0
37,NC,North Carolina,Physical Environment,2021,35.8,21.0,0.748,0.472,0.682,0.62,0.545,0.457,0.668,0.81,150267,257854.0,4623.0,15052,11344,75330,514469.0,0.139,34.0,78.0,2.0,3.0
38,ND,North Dakota,Physical Environment,2021,41.2,45.7,0.718,0.104,0.474,0.316,0.459,0.446,0.684,0.81,22369,3507.0,3724.0,1243,1324,2259,34426.0,0.123,22.0,0.0,5.0,3.0
39,OH,Ohio,Physical Environment,2021,32.7,30.7,0.736,0.377,0.5,0.54,0.496,0.459,0.679,0.81,257093,228923.0,2282.0,19627,17777,38846,564549.0,0.127,26.0,63.0,4.0,3.0
40,OK,Oklahoma,Physical Environment,2021,22.6,24.8,0.728,0.413,0.659,0.6,0.602,0.536,0.681,0.81,79943,38758.0,12591.0,4713,13933,24354,174292.0,0.126,24.0,84.0,2.0,3.0
42,PA,Pennsylvania,Physical Environment,2021,47.1,46.4,0.755,0.453,0.554,0.606,0.527,0.424,0.704,0.81,206962,164641.0,1603.0,24997,12669,86826,497700.0,0.103,13.0,78.0,4.0,2.0
45,SC,South Carolina,Physical Environment,2021,21.0,24.5,0.779,0.547,0.679,0.678,0.566,0.485,0.705,0.81,33522,120498.0,708.0,2785,4088,20828,182430.0,0.102,12.0,97.0,2.0,2.0
46,SD,South Dakota,Physical Environment,2021,44.0,39.6,0.747,0.206,0.389,0.377,0.464,0.488,0.709,0.81,16853,2550.0,6840.0,1288,1586,2015,31132.0,0.098,11.0,20.0,5.0,2.0
51,VA,Virginia,Physical Environment,2021,22.3,23.4,0.747,0.491,0.653,0.678,0.567,0.479,0.677,0.81,122568,172993.0,1026.0,19857,12333,59300,388077.0,0.13,28.0,85.0,2.0,3.0
53,WA,Washington,Physical Environment,2021,30.7,32.0,0.689,0.331,0.555,0.614,0.494,0.456,0.646,0.81,240240,42358.0,6569.0,37737,23190,73111,423204.0,0.161,37.0,57.0,3.0,4.0
54,WV,West Virginia,Physical Environment,2021,29.3,24.0,0.76,0.419,0.738,0.533,0.607,0.55,0.744,0.81,31083,9024.0,103.0,1254,1241,1813,44518.0,0.063,1.0,97.0,4.0,1.0
55,WI,Wisconsin,Physical Environment,2021,38.1,37.5,0.743,0.284,0.49,0.513,0.466,0.415,0.697,0.81,122333,60994.0,5191.0,11418,7190,36377,243503.0,0.11,16.0,46.0,5.0,2.0
56,WY,Wyoming,Physical Environment,2021,33.8,28.2,0.739,0.432,0.556,0.558,0.597,0.594,0.721,0.81,12865,639.0,708.0,340,671,3254,18477.0,0.086,8.0,93.0,3.0,2.0
